house_index,bedrooms,property_type,property_subtype,locality,postal_code,street,number,box,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale,energy_certificate
0,1.0,APARTMENT,APARTMENT,ANTWERPEN,2020,Eric Sasselaan,49,1v,0.0,3.0,169000.0,0.0,1.0,2.0,0.0,0.0,TO_RENOVATE,0.0,0.0,0.0,,70.0,,,D
1,2.0,APARTMENT,APARTMENT,Ixelles,1050,Rue Paul Lauters,2,,1.0,2.0,335000.0,0.0,0.0,0.0,0.0,0.0,GOOD,0.0,0.0,0.0,,81.0,,,F
2,1.0,APARTMENT,APARTMENT,DEURNE,2100,August Van de Wielelei,85,002,1.0,2.0,239000.0,0.0,0.0,0.0,0.0,0.0,GOOD,1.0,45.0,0.0,,88.0,,,D
3,2.0,APARTMENT,APARTMENT,Uccle,1180,Chaussée d'Alsemberg,1033,,1.0,2.0,239000.0,0.0,1.0,10.0,0.0,0.0,TO_BE_DONE_UP,0.0,0.0,0.0,,76.0,,,D
4,4.0,HOUSE,HOUSE,Kluisbergen,9690,Molenstraat,35,,0.0,2.0,239000.0,0.0,1.0,,0.0,0.0,GOOD,0.0,0.0,0.0,510.0,172.0,510.0,,C
5,4.0,HOUSE,HOUSE,Engis,4480,Rue Reine Astrid,62,,1.0,4.0,260000.0,0.0,1.0,27.0,0.0,0.0,GOOD,1.0,559.0,0.0,696.0,152.0,696.0,,D
6,4.0,HOUSE,HOUSE,Dilbeek,1700,Rozenlaan,30,,1.0,3.0,525000.0,0.0,1.0,35.0,0.0,0.0,AS_NEW,1.0,150.0,0.0,322.0,225.0,322.0,,E
7,2.0,APARTMENT,APARTMENT,BERCHEM,2600,Lode Vissenaekenstraat,2,1v,1.0,3.0,225000.0,0.0,1.0,5.0,0.0,0.0,AS_NEW,0.0,0.0,0.0,,85.0,,,B
8,3.0,APARTMENT,APARTMENT,EDEGEM,2650,Biezenwei,13,2,1.0,,249000.0,0.0,1.0,6.0,0.0,0.0,TO_RENOVATE,0.0,0.0,0.0,,110.0,,,B
9,2.0,APARTMENT,APARTMENT,DEURNE,2100,Bisschoppenhoflaan,307,10,1.0,2.0,154000.0,0.0,1.0,4.0,0.0,0.0,AS_NEW,0.0,0.0,0.0,,70.0,,,B
